पर्यावरण,वह परिवेश जिसमें कोई जीव रहता है।,परिवेश,वातावरण
पानी,एक पारदर्शी तरल जो नदियों, समुद्रों और वर्षा का हिस्सा है।,जल,तरल
समस्या,कठिनाई या हल करने योग्य परिस्थिति।,मुद्दा,प्रश्न
मित्र,साथी या दोस्त।,सखा,दोस्त
शांति,अशांति या संघर्ष का अभाव।,संतोष,सुकून
सूरज,प्रकाश और ऊर्जा का मुख्य स्रोत।,रवि,दिनकर
ज्ञान,जानकारी या समझ।,बुद्धि,सूझ
विचार,मन की गतिविधि या सोच।,सोच,मंथन
प्रयास,काम या उद्देश्य के लिए किया गया प्रयास।,कोशिश,उद्यम
यात्रा,एक स्थान से दूसरे स्थान जाना।,सफर,अभियान
शिक्षक,पढ़ाने वाला व्यक्ति।,गुरु,अध्यापक
अस्पताल,बीमारों का इलाज करने वाला स्थान।,चिकित्सालय,स्वास्थ्य केंद्र
प्रकृति,सृष्टि की सभी वस्तुएँ और शक्तियाँ।,नेचर,कुदरत
सफलता,लक्ष्य की प्राप्ति।,उपलब्धि,विजय
रास्ता,किसी स्थान तक जाने का मार्ग।,पथ,मार्ग
जीवन,जीने की प्रक्रिया या अवस्था।,संसार,आ existence
परिवार,आपस में जुड़े हुए लोग।,कुटुम्ब,परिजन
शब्द,मतलब या अर्थ रखने वाली ध्वनि।,वाणी,वाक्य
वृक्ष,बड़ा पौधा।,पेड़,तरु
आनन्द,ख़ुशी या सुख।,सुख,हर्ष
भोजन,खाने योग्य वस्तु।,आहार,खाद्य
स्वास्थ्य,तन और मन की ठीक अवस्था।,आरोग्य,तंदुरुस्ती
खुशबू,अच्छी महक।,सुगंध, गंध
उद्योग,व्यापार या उत्पादन विशेष।,कारखाना,फैक्टरी
शक्ति,किसी चीज़ की ताकत।,बल,सामर्थ्य
समय,घड़ियों या दिनों में मापी जाने वाली अवधि।,वेला,काल
धैर्य,शांति से कार्य करने की क्षमता।,सब्र, संयम
संसार,सभी जीव-जंतुओं का स्थान।,दुनिया, विश्व
प्रेम,जुनून या स्नेह।,मोहब्बत,प्यार
स्त्री,महिला।,महिला,नारी
पुरुष,आदमी।,मनुष्य,जेंटलमैन
कला,अभिव्यक्ति का रूप।,शिल्प,चित्राकार
इतिहास,पूर्व की घटनाएँ।,भूतकाल,गाथा
सेवा,मदद करना।,सहायता, सहयोग
सपना,नींद में देखी गई घटनाएँ।,स्वप्न,अभिलाषा
मानव,मनुष्य का वैज्ञानिक नाम।,आदमी,इंसान
धन,पैसा।,संपत्ति,वित्त
मूल्य,महत्त्व या कीमत।,कीमत,पायसा
शिक्षा,ज्ञान देने की प्रक्रिया।,विद्या,पाठ्यक्रम
बाज़ार,खरीदने-बेचने का स्थान।,हाट,मार्केट
रंग,दृश्य का वर्ण या चमक।,चटख,रूप
संगीत,स्वरों की कला।,गान,गीत
अधिकार,किसी चीज़ पर हक़।,हक,स्वत्व
दिशा,किसी स्थान का संकेत।,रास्ता,दिशाबोध
संपर्क,किसी चीज़ से जुड़ाव।,रिश्ता,अनुशंधान
दर्शन,देखना या समझना।,देना,समझ
ज्ञान,किसी विषय की जानकारी।,सूचना,तथ्य
विश्वास,यकीन।,श्रद्धा, भरोसा
न्याय,सही निर्णय।,इन्साफ,निर्णय
समुद्र,बड़ी जल राशि।,सागर,जलधि
भाग्य,किसी बात का पूर्व निर्धारित होना।,किस्मत, नसीब
अधिकार,किसी चीज़ पर हक।,हक,स्वत्व
अनुभव,अतीत में सीखी गई बातें।,तजुर्बा,अनुवाद
अंदाज़,किसी वस्तु का अनुमान।,अनुमान,अनुमिति
आत्मा,जीव के अंदर की शक्ति।,रूह,चेतना
स्वतंत्रता,बिना रोक-टोक के जीने का अधिकार।,आजादी,मुक्ति
गति,किसी वस्तु का चलना।,स्पीड,वेग
मित्रता,दोस्ती या निकटता।,सखा,संबंध
संवेदना,किसी की भावनाओं को समझना।,समझ,दया
मानवता,इंसान होने का गुण।,इंसानियत,सज्जनता
स्वर,आवाज।,ध्वनि,बोली
संदेश,दूसरे को भेजी गई सूचना।,समाचार,नोटिस
समाप्ति,अंत या ख़त्म होना।,अंत,पूरा
शक्ति,किसी चीज़ की ताकत।,बल,सामर्थ्य
मूल्यांकन,किसी चीज़ का आकलन।,आँकलन,मूल्य
चिंता,दिमाग में उठने वाली परेशानी।,फिकर,दुख
आरंभ,शुरू करने की प्रक्रिया।,शुरुआत,प्रारम्भ
अवसर,मौका।,संधि,मौका
ज्ञान,किसी विषय की जानकारी।,सूचना,तथ्य
सम्मान,आदर या इज्ज़त।,आदर,मूल्य
योजना,कुछ करने का तरीका।,सामग्री,रूपरेखा
समर्पण,किसी को समर्पित होना।,भक्ति,अर्पण
स्रोत,जहाँ से कुछ मिलता है।,मूल,उत्पत्ति
स्थिति,अबका हाल या अवस्था।,हाल,दशा
स्थिरता,टिकाव या जमे रहने की क्षमता।,स्थिर,अचल
सुंदरता,रूप या आकर्षण।,आकर्षण,रूप
समाज,लोगों का समूह।,जनसमुदाय,लोक
संपत्ति,किसी के पास की चीज़ें।,धन,माल
स्मृति,याद।,मेमोरी,याददाश्त
संवाद,बातचीत।,विभाषण,बातचीत
