Meaning,Filename
An accident happened / accident happened/ There has been an accident / Something went wrong / There is an emergency incident,ACCIDENT.webm
Where is the bus? / Where is the bus stop? / Which way is the bus? / Where can I catch the bus?,BUS-WHERE.webm
I want to buy this / Please buy this for me / I want to purchase this / I would like to get this,BUY-ME.webm
Call my family / Please contact my family / Inform my family / Call my family members,CALL-FAMILY.webm
Call me later / Please call later / Contact me later / We’ll talk later,CALL-LATER.webm
Change the plan / Let’s change the plan / The plan needs to be changed / Modify the plan,CHANGE-PLAN.webm
I need to charge my phone / My phone needs charging / I need a charger / I need to plug in the phone,CHARGE-NEED.webm
Make it cheaper / Reduce the price / Lower the cost / Give me a discount,CHEAP.webm
Please check this / Check it for me / Have a look at this / Verify this,CHECK-PLEASE.webm
Come here / Please come / Come closer / Move towards me,COME.webm
Correct this / Fix this / Make this right / Change this to the correct form,CORRECT-THIS.webm
Eat now / Let’s eat now / I am eating now / I will eat now,EAT-NOW.webm
That's enough / No more / I don’t need more / I am full,ENOUGH.webm
I am finished / I am done / It is completed / The work is over,FINISH.webm
"Good morning / Morning greeting / Hello, good morning / Wishing you a good morning",Good-morning.webm
This is good quality / Quality is good / It is well made / This is a high-quality item,GOOD-QUALITY.webm
Good work / Good job / Well done / Excellent effort,GOOD-WORK.webm
Go straight / Move forward / Keep going ahead / Continue straight,GO-STRAIGHT.webm
"Help me quickly / Help fast / I need help immediately / Emergency, help me now",HELP-FAST.webm
Help me / Please help me / I need help / Assist me,HELP-ME.webm
Take me to the hospital / I need hospital / Hospital is needed / Medical support needed,Hospital.webm
How much is this? / What is the price? / What does this cost? / What is the rate?,HOW-MUCH.webm
How are you? / How are you doing? / How is everything? / Are you okay?,HOW-YOU.webm
Hurry up / Be quick / Come fast / Move quickly,HURRY.webm
I don’t understand / I am not understanding / I didn't get it / I cannot understand,I-NO-UNDERSTAND.webm
I don’t want this / I don’t want it / I don’t need this / I am not interested,I-NO-WANT.webm
I want this / I need this / I would like this / Please give me this,I-WANT-THIS.webm
I am angry / I’m feeling angry / I’m mad / I’m upset,ME-ANGRY.webm
I am angry with you / I’m upset with you / I’m mad at you / You made me angry,ME-ANGRY-YOU.webm
I am busy now / I'm busy now / I’m occupied right now / I’m not free at the moment,ME-BUSY-NOW.webm
I am busy with work / I'm working right now / I’m occupied with work / I’m tied up with work,ME-BUSY-WORK.webm
I will come late / I'm coming late / I may be late / I might arrive late,ME-COME-LATE.webm
I am confused / I don't understand / I am unsure / I feel confused,ME-CONFUSED.webm
I will cook / I am cooking / I'm going to cook / I'll prepare the food,ME-COOK.webm
I am Deaf / I cannot hear / I have hearing loss / I am hard of hearing,ME-DEAF.webm
I am excited / I'm excited / I feel excited / I am enthusiastic,ME-EXCITED.webm
I am fine / I'm fine / I am okay / I am doing well,ME-FINE.webm
"I forgot / I have forgotten / I completely forgot / Oh, I forgot",ME-FORGET.webm
I am free now / I'm free now / I’m available now / I’m not busy anymore,ME-FREE-NOW.webm
I am going home / I'm going home / I will go home / I'm leaving for home,ME-GO-HOME.webm
I am happy / I'm happy / I feel happy / I’m joyful,ME-HAPPY.webm
I am hungry / I'm hungry / I need food / I want to eat,ME-HUNGRY.webm
I am learning / I'm learning / I am studying / I’m trying to learn,ME-LEARN.webm
I like you / I really like you / I care for you / You are special to me / i love you,ME-LIKE-YOU.webm
I have a meeting / I’m in a meeting / I need to attend a meeting / My meeting is happening now,ME-MEETING.webm
I miss you / I am missing you / I miss being with you / I feel your absence,ME-MISS-YOU.webm
I don’t speak / I cannot speak / I am non-verbal / I cannot talk,ME-NO-SPEAK.webm
I don’t like this / I don’t like you / I dislike it / I’m not okay with this,ME-NOT-LIKE.webm
I am ready / I'm ready / I’m prepared / I’m all set,ME-READY.webm
I am relaxing / I’m relaxing / I am resting / I am calming down,ME-RELAX.webm
I am sad / I'm sad / I feel sad / I’m unhappy,ME-SAD.webm
I am scared / I'm scared / I feel afraid / I’m frightened,ME-SCARED.webm
I am shy / I'm shy / I feel shy / I’m feeling embarrassed,ME-SHY.webm
Message me / Text me / Send me a message / Contact me,MESSAGE-ME.webm
I will teach you / I can teach you / I’ll show you how / Let me explain to you,ME-TEACH-YOU.webm
